Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
    0          0,254999          0,254999       2,59053e-14
    1          0,256675          0,256675       2,59524e-14
    2          0,258366          0,258366       2,57826e-14
    3          0,260071          0,260071       2,60404e-14
    4          0,261792          0,261792       2,60813e-14
    5          0,263528          0,263528       2,63308e-14
    6          0,265279          0,265279       2,65755e-14
    7          0,267045          0,267045       2,63997e-14
    8          0,268828          0,268828       2,64312e-14
    9          0,270626          0,270626       2,66658e-14
   10           0,27244           0,27244        2,6692e-14
   11           0,27427           0,27427       2,67163e-14
   12          0,276116          0,276116       2,69397e-14
   13          0,277979          0,277979       2,71586e-14
   14          0,279859          0,279859       2,69761e-14
   15          0,281756          0,281756       2,71886e-14
   16          0,283669          0,283669       2,72009e-14
   17            0,2856            0,2856       2,76001e-14
   18          0,287549          0,287549       2,76061e-14
   19          0,289515          0,289515       2,76104e-14
   20          0,291499          0,291499       2,78033e-14
   21          0,293501          0,293501       2,78028e-14
   22          0,295521          0,295521       2,79884e-14
   23           0,29756           0,29756       2,81697e-14
   24          0,299617          0,299617       2,81616e-14
   25          0,301694          0,301694       2,81518e-14
   26          0,303789          0,303789        2,8323e-14
   27          0,305904          0,305904       2,84901e-14
   28          0,308038          0,308038       2,88334e-14
   29          0,310193          0,310193       2,86331e-14
   30          0,312367          0,312367       2,87893e-14
   31          0,314561          0,314561       2,89414e-14
   32          0,316776          0,316776       2,90895e-14
   33          0,319012          0,319012       2,92336e-14
   34          0,321268          0,321268       2,90283e-14
   35          0,323546          0,323546       2,91671e-14
   36          0,325845          0,325845       2,96427e-14
   37          0,328166          0,328166       2,96022e-14
   38          0,330509          0,330509       2,95603e-14
   39          0,332874          0,332874       2,96838e-14
   40          0,335262          0,335262       2,98036e-14
   41          0,337672          0,337672        3,0084e-14
   42          0,340106          0,340106        3,0032e-14
   43          0,342562          0,342562       3,01407e-14
   44          0,345043          0,345043       3,04067e-14
   45          0,347547          0,347547       3,05071e-14
   46          0,350075          0,350075       3,07625e-14
   47          0,352627          0,352627       3,06972e-14
   48          0,355205          0,355205        3,0787e-14
   49          0,357807          0,357807       3,10285e-14
   50          0,360435          0,360435       3,11103e-14
   51          0,363088          0,363088       3,10359e-14
   52          0,365767          0,365767       3,11121e-14
   53          0,368473          0,368473        3,1185e-14
   54          0,371205          0,371205       3,15536e-14
   55          0,373964          0,373964       3,16177e-14
   56           0,37675           0,37675       3,16786e-14
   57          0,379564          0,379564       3,18825e-14
   58          0,382405          0,382405       3,19359e-14
   59          0,385275          0,385275       3,21303e-14
   60          0,388174          0,388174       3,20333e-14
   61          0,391101          0,391101       3,23613e-14
   62          0,394058          0,394058       3,24003e-14
   63          0,397044          0,397044        3,2576e-14
   64           0,40006           0,40006       3,24691e-14
   65          0,403107          0,403107       3,26368e-14
   66          0,406185          0,406185       3,27996e-14
   67          0,409293          0,409293       3,28217e-14
   68          0,412434          0,412434       3,31101e-14
   69          0,415606          0,415606       3,32581e-14
   70          0,418811          0,418811       3,34013e-14
   71          0,422048          0,422048       3,35396e-14
   72          0,425319          0,425319       3,34122e-14
   73          0,428623          0,428623       3,38022e-14
   74          0,431962          0,431962        3,3798e-14
   75          0,435334          0,435334       3,40462e-14
   76          0,438742          0,438742       3,41613e-14
   77          0,442185          0,442185       3,41464e-14
   78          0,445664          0,445664       3,43781e-14
   79           0,44918           0,44918       3,44798e-14
   80          0,452732          0,452732       3,45771e-14
   81          0,456321          0,456321       3,45484e-14
   82          0,459948          0,459948       3,48794e-14
   83          0,463614          0,463614       3,49629e-14
   84          0,467318          0,467318       3,51609e-14
   85          0,471061          0,471061        3,5235e-14
   86          0,474844          0,474844       3,54219e-14
   87          0,478667          0,478667       3,53709e-14
   88          0,482531          0,482531       3,55478e-14
   89          0,486437          0,486437        3,5833e-14
   90          0,490384          0,490384        3,5771e-14
   91          0,494374          0,494374       3,60437e-14
   92          0,498407          0,498407       3,61976e-14
   93          0,502484          0,502484       3,62353e-14
   94          0,506605          0,506605       3,63789e-14
   95           0,51077           0,51077       3,62996e-14
   96          0,514981          0,514981       3,66495e-14
   97          0,519238          0,519238       3,65628e-14
   98          0,523541          0,523541       3,68985e-14
   99          0,527892          0,527892        3,7015e-14
  100          0,532291          0,532291       3,71263e-14
  101          0,536738          0,536738       3,74392e-14
  102          0,541235          0,541235       3,73333e-14
  103          0,545781          0,545781       3,74291e-14
  104          0,550378          0,550378       3,77216e-14
  105          0,555027          0,555027       3,76057e-14
  106          0,559727          0,559727       3,80833e-14
  107           0,56448           0,56448       3,79594e-14
  108          0,569287          0,569287       3,82239e-14
  109          0,574147          0,574147       3,84804e-14
  110          0,579063          0,579063       3,83455e-14
  111          0,584035          0,584035       3,85894e-14
  112          0,589063          0,589063       3,90139e-14
  113          0,594148          0,594148       3,88668e-14
  114          0,599291          0,599291        3,9089e-14
  115          0,604494          0,604494       3,93036e-14
  116          0,609756          0,609756       3,93286e-14
  117          0,615079          0,615079       3,95297e-14
  118          0,620463          0,620463       3,95446e-14
  119           0,62591           0,62591       3,97326e-14
  120           0,63142           0,63142       3,99133e-14
  121          0,636994          0,636994       4,02612e-14
  122          0,642633          0,642633       4,00807e-14
  123          0,648338          0,648338       4,02417e-14
  124          0,654111          0,654111       4,07352e-14
  125          0,659951          0,659951        4,0543e-14
  126          0,665861          0,665861       4,08501e-14
  127           0,67184           0,67184        4,0817e-14
  128           0,67789           0,67789       4,11078e-14
  129          0,684013          0,684013       4,13891e-14
  130          0,690209          0,690209       4,13393e-14
  131          0,696478          0,696478       4,14454e-14
  132          0,702824          0,702824       4,17031e-14
  133          0,709245          0,709245       4,17951e-14
  134          0,715744          0,715744       4,18809e-14
  135          0,722322          0,722322       4,19606e-14
  136           0,72898           0,72898       4,21866e-14
  137          0,735719          0,735719       4,22529e-14
  138          0,742541          0,742541       4,26123e-14
  139          0,749446          0,749446       4,28122e-14
  140          0,756435          0,756435       4,27102e-14
  141          0,763511          0,763511       4,31868e-14
  142          0,770675          0,770675       4,32176e-14
  143          0,777927          0,777927       4,33855e-14
  144           0,78527           0,78527       4,35454e-14
  145          0,792704          0,792704       4,36972e-14
  146          0,800231          0,800231       4,38412e-14
  147          0,807852          0,807852       4,39773e-14
  148          0,815569          0,815569       4,39695e-14
  149          0,823384          0,823384       4,40916e-14
  150          0,831297          0,831297       4,44732e-14
  151          0,839311          0,839311       4,47099e-14
  152          0,847427          0,847427       4,46748e-14
  153          0,855647          0,855647       4,47646e-14
  154          0,863972          0,863972       4,51043e-14
  155          0,872403          0,872403       4,51774e-14
  156          0,880943          0,880943       4,53696e-14
  157          0,889594          0,889594       4,55524e-14
  158          0,898357          0,898357        4,5726e-14
  159          0,907233          0,907233       4,57681e-14
  160          0,916226          0,916226       4,60459e-14
  161          0,925336          0,925336       4,60725e-14
  162          0,934565          0,934565       4,63303e-14
  163          0,943916          0,943916       4,64595e-14
  164           0,95339           0,95339       4,66965e-14
  165          0,962989          0,962989       4,68074e-14
  166          0,972716          0,972716         4,691e-14
  167          0,982573          0,982573       4,71174e-14
  168          0,992561          0,992561       4,74263e-14
  169           1,00268           1,00268       4,73904e-14
  170           1,01294           1,01294       4,75681e-14
  171           1,02334           1,02334       4,77358e-14
  172           1,03387           1,03387       4,81084e-14
  173           1,04455           1,04455       4,84668e-14
  174           1,05538           1,05538         4,818e-14
  175           1,06635           1,06635       4,87254e-14
  176           1,07748           1,07748       4,86346e-14
  177           1,08875           1,08875       4,87427e-14
  178           1,10018           1,10018       4,88417e-14
  179           1,11177           1,11177       4,89318e-14
  180           1,12352           1,12352       4,92105e-14
  181           1,13543           1,13543       4,94765e-14
  182           1,14751           1,14751       4,95361e-14
  183           1,15976           1,15976       4,95873e-14
  184           1,17218           1,17218        5,0009e-14
  185           1,18478           1,18478       5,00396e-14
  186           1,19755           1,19755       5,02475e-14
  187           1,21051           1,21051       5,04435e-14
  188           1,22365           1,22365       5,06277e-14
  189           1,23697           1,23697       5,06208e-14
  190           1,25049           1,25049       5,09615e-14
  191            1,2642            1,2642       5,12869e-14
  192           1,27811           1,27811       5,10763e-14
  193           1,29222           1,29222       5,13777e-14
  194           1,30653           1,30653       5,14946e-14
  195           1,32106           1,32106        5,1937e-14
  196           1,33579           1,33579       5,18628e-14
  197           1,35074           1,35074       5,22751e-14
  198           1,36591           1,36591       5,23448e-14
  199           1,38131           1,38131       5,24044e-14
  200           1,39693           1,39693       5,26132e-14
  201           1,41278           1,41278       5,29658e-14
  202           1,42887           1,42887       5,31464e-14
  203            1,4452            1,4452       5,30068e-14
  204           1,46177           1,46177       5,33172e-14
  205            1,4786            1,4786       5,34614e-14
  206           1,49567           1,49567       5,37418e-14
  207           1,51301           1,51301        5,3713e-14
  208           1,53061           1,53061       5,41109e-14
  209           1,54848           1,54848       5,40602e-14
  210           1,56662           1,56662       5,42846e-14
  211           1,58503           1,58503       5,44943e-14
  212           1,60374           1,60374       5,45511e-14
  213           1,62273           1,62273       5,50074e-14
  214           1,64201           1,64201        5,4767e-14
  215            1,6616            1,6616       5,50569e-14
  216           1,68149           1,68149        5,5198e-14
  217           1,70169           1,70169       5,54561e-14
  218           1,72221           1,72221       5,55689e-14
  219           1,74305           1,74305       5,57962e-14
  220           1,76422           1,76422       5,60076e-14
  221           1,78573           1,78573       5,59547e-14
  222           1,80758           1,80758       5,63839e-14
  223           1,82978           1,82978       5,64279e-14
  224           1,85234           1,85234       5,65799e-14
  225           1,87526           1,87526       5,67173e-14
  226           1,89854           1,89854       5,69572e-14
  227           1,92221           1,92221         5,718e-14
  228           1,94626           1,94626       5,73861e-14
  229            1,9707            1,9707       5,74631e-14
  230           1,99555           1,99555       5,75266e-14
  231            2,0208            2,0208       5,77967e-14
  232           2,04647           2,04647       5,77228e-14
  233           2,07256           2,07256       5,80674e-14
  234           2,09908           2,09908       5,83915e-14
  235           2,12605           2,12605       5,82774e-14
  236           2,15347           2,15347       5,85666e-14
  237           2,18135           2,18135       5,86324e-14
  238            2,2097            2,2097       5,86841e-14
  239           2,23852           2,23852       5,89203e-14
  240           2,26784           2,26784       5,91378e-14
  241           2,29765           2,29765       5,93369e-14
  242           2,32797           2,32797       5,95178e-14
  243           2,35882           2,35882       5,98692e-14
  244           2,39019           2,39019       6,00123e-14
